            Line          Column            Code                         Token
|-------------------------------------------------------------------------------|

               1               1             401                       PROGRAM
               1               9            1001                   PARSERTEST2
               1              20               4                             ;
               2               5             402                         BEGIN
               3               9             404                          LOOP
               4              13             404                          LOOP
               5              17             406                          CASE
               5              22             501                           100
               5              26               5                             /
               5              28             502                             5
               5              30             407                            OF
               5              33             503                         10000
               5              39             409                           MOD
               5              43             504                            10
               5              45               3                             :
               6              21               5                             /
               7              25             406                          CASE
               7              30             502                             5
               7              31               1                             *
               7              32             505                             2
               7              34             407                            OF
               8              25             408                       ENDCASE
               8              32               4                             ;
               9              21               6                             \
              10              17             408                       ENDCASE
              10              24               4                             ;
              11              13             405                       ENDLOOP
              11              20               4                             ;
              12               9             405                       ENDLOOP
              12              16               4                             ;
              13               9             406                          CASE
              13              14            1002                             X
              13              16               1                             *
              13              18            1003                             Y
              13              20             407                            OF
              13              23            1004                             C
              13              24               3                             :
              13              26               5                             /
              14              13             404                          LOOP
              15              13             405                       ENDLOOP
              15              20               4                             ;
              16               9               6                             \
              17               9             408                       ENDCASE
              17              16               4                             ;
              18               5             403                           END
              18               8               2                             .

|-------------------------------------------------------------------------------|


               No ERROR lexemes to analyze

